Offer Title,Coupon Code,Description,Eligible Credit Cards,Eligible Debit Cards
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Bonus Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Choice Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Choice Visa Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Classic Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Delight Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Edge Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Edge MasterCard,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum LifeEasy Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum LifeEasy Visa Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Maxima Credit Card,
